epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.006,0.32898,1.69649,0.90909,0.68269,0.68558,0.65974,0.63827,0.25068,0.34987,0.8199,0.000122866,0.000122866,0.000122866
2,374.299,0.25672,0.49146,0.86859,0.59214,0.61542,0.6716,0.6305,0.25497,0.49752,0.82964,0.000240106,0.000240106,0.000240106
3,550.088,0.27244,0.44927,0.87289,0.62468,0.69618,0.68018,0.65614,0.24722,0.4083,0.81349,0.000351241,0.000351241,0.000351241
4,726.433,0.25508,0.39523,0.86826,0.64337,0.69478,0.68599,0.66535,0.23779,0.3431,0.80718,0.000342528,0.000342528,0.000342528
5,901.462,0.23384,0.34711,0.86437,0.67718,0.74858,0.74148,0.73338,0.20114,0.35407,0.80756,0.00033337,0.00033337,0.00033337
6,1078.91,0.22298,0.32244,0.85672,0.71757,0.76677,0.77675,0.75631,0.19603,0.26508,0.78227,0.000324212,0.000324212,0.000324212
7,1254.78,0.2189,0.30204,0.8576,0.77642,0.76273,0.72588,0.71002,0.20796,0.30592,0.78798,0.000315055,0.000315055,0.000315055
8,1427.88,0.21018,0.28611,0.85387,0.68781,0.85486,0.80073,0.77626,0.17852,0.24689,0.76434,0.000305897,0.000305897,0.000305897
9,1602.51,0.20126,0.27666,0.85274,0.80805,0.76086,0.83805,0.81244,0.1906,0.23902,0.7718,0.00029674,0.00029674,0.00029674
10,1778.39,0.19698,0.2703,0.85121,0.67642,0.89744,0.79611,0.78005,0.17562,0.21015,0.77042,0.000287582,0.000287582,0.000287582
11,1952.51,0.19103,0.25508,0.84818,0.70386,0.91847,0.86106,0.82198,0.16534,0.19406,0.7621,0.000278425,0.000278425,0.000278425
12,2128.77,0.18605,0.25305,0.8486,0.70601,0.86687,0.83489,0.81561,0.16977,0.21942,0.76774,0.000269268,0.000269268,0.000269268
13,2304.03,0.18337,0.24485,0.84674,0.6247,0.88915,0.81946,0.77892,0.1632,0.21414,0.7764,0.00026011,0.00026011,0.00026011
14,2477.88,0.17757,0.23111,0.845,0.69897,0.90884,0.85836,0.84069,0.16002,0.19049,0.78185,0.000250952,0.000250952,0.000250952
15,2655.15,0.17169,0.22695,0.84388,0.68752,0.88995,0.82123,0.78622,0.15513,0.18452,0.78514,0.000241795,0.000241795,0.000241795
16,2827.23,0.16709,0.22309,0.8424,0.70492,0.94258,0.83252,0.80928,0.16209,0.17278,0.78303,0.000232638,0.000232638,0.000232638
17,3001.97,0.16481,0.22105,0.84303,0.75434,0.86251,0.85727,0.84032,0.15075,0.16934,0.76206,0.00022348,0.00022348,0.00022348
18,3173.56,0.15928,0.20723,0.84502,0.72664,0.93325,0.87229,0.84891,0.14186,0.16338,0.75061,0.000214322,0.000214322,0.000214322
19,3348.96,0.15749,0.20357,0.84186,0.73582,0.91715,0.86338,0.83869,0.13356,0.15372,0.75014,0.000205165,0.000205165,0.000205165
20,3521.25,0.1585,0.21032,0.84159,0.72933,0.93108,0.88329,0.86862,0.14812,0.17708,0.78046,0.000196008,0.000196008,0.000196008
21,3695.68,0.15272,0.19776,0.84138,0.74671,0.93455,0.88656,0.87772,0.15091,0.16388,0.75296,0.00018685,0.00018685,0.00018685
22,3872.4,0.15196,0.19485,0.8397,0.72994,0.94737,0.86993,0.85626,0.12516,0.15893,0.75395,0.000177692,0.000177692,0.000177692
23,4045.49,0.14764,0.18911,0.83847,0.75379,0.93606,0.8289,0.8027,0.1298,0.15098,0.74686,0.000168535,0.000168535,0.000168535
24,4219.02,0.14697,0.1865,0.83959,0.73465,0.94737,0.89618,0.87204,0.14223,0.15963,0.77278,0.000159377,0.000159377,0.000159377
25,4391.7,0.14314,0.18093,0.83926,0.76216,0.93405,0.88076,0.87259,0.13427,0.1477,0.74927,0.00015022,0.00015022,0.00015022
26,4564.18,0.14208,0.18214,0.83769,0.77758,0.93811,0.89329,0.88596,0.12203,0.14199,0.74504,0.000141062,0.000141062,0.000141062
27,4738.52,0.13731,0.17417,0.83675,0.76459,0.92241,0.87926,0.87074,0.12606,0.13907,0.74352,0.000131905,0.000131905,0.000131905
28,4912.49,0.13772,0.17515,0.83431,0.77713,0.93452,0.87412,0.86544,0.1286,0.13671,0.74565,0.000122747,0.000122747,0.000122747
29,5084.78,0.13457,0.17098,0.83636,0.86144,0.85775,0.89078,0.88221,0.11798,0.13647,0.74088,0.00011359,0.00011359,0.00011359
30,5257.93,0.13184,0.16755,0.83598,0.75967,0.94107,0.89048,0.88357,0.11236,0.12145,0.74051,0.000104433,0.000104433,0.000104433
31,5429.53,0.12091,0.14229,0.79859,0.76117,0.92677,0.87873,0.87005,0.11734,0.12844,0.73982,9.5275e-05,9.5275e-05,9.5275e-05
